gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
ENSG00000308429	0	8.022183927	1.497023822	4.805830522	2.187565437	3.302816938
ENSG00000308432	1.35202355	16.04436785	4.990079408	28.83498313	4.375130875	16.51408469
ENSG00000308454	0.450674517	0	0.998015882	0	0.729188479	0
ENSG00000308462	0	6.016637945	0	9.611661044	2.187565437	2.201877959
ENSG00000308465	2.704047099	28.07764374	4.491071467	16.82040683	7.291884791	15.41314571
ENSG00000308477	0.450674517	24.06655178	2.495039704	16.82040683	5.104319354	2.201877959
ENSG00000308490	0	2.005545982	0.499007941	14.41749157	2.187565437	0
ENSG00000308497	0	22.0610058	0.499007941	14.41749157	0.729188479	1.100938979
ENSG00000308500	0	0	0	0	0.729188479	0
ENSG00000308507	0.450674517	2.005545982	0	0	0	1.100938979
ENSG00000308516	3.605396132	38.10537365	7.485119112	62.47579679	13.12539262	30.82629142
ENSG00000308524	0	4.011091963	0.998015882	9.611661044	3.645942395	4.403755917
ENSG00000308526	0.450674517	4.011091963	0	0	0	1.100938979
ENSG00000308529	7.661466781	162.4492245	9.980158815	60.07288152	9.479450228	11.00938979
ENSG00000308545	0	0	0	0	0	0
ENSG00000308546	0	6.016637945	0.499007941	2.402915261	0	0
ENSG00000308549	1.35202355	0	0	0	2.916753916	2.201877959
ENSG00000308554	8.112141298	86.23847721	12.97420646	50.46122048	16.04214654	19.81690163
ENSG00000308561	0.450674517	0	0.499007941	0	0	0
ENSG00000308562	0	0	0	0	0	0
ENSG00000308563	14.87225905	2.005545982	2.495039704	2.402915261	6.562696312	3.302816938
ENSG00000308570	0.450674517	2.005545982	0.499007941	2.402915261	2.916753916	4.403755917
ENSG00000308572	0.450674517	0	0.499007941	0	0	1.100938979
ENSG00000308575	0.450674517	10.02772991	0	2.402915261	0	0
ENSG00000308577	0	6.016637945	0.998015882	4.805830522	1.458376958	4.403755917
ENSG00000308579	0	0	1.497023822	0	1.458376958	0
ENSG00000308589	0	4.011091963	0.499007941	9.611661044	8.02107327	3.302816938
ENSG00000308592	0	12.03327589	0	0	1.458376958	1.100938979
ENSG00000308601	0	0	0	0	0.729188479	0
ENSG00000308602	9.464164847	2.005545982	6.986111171	2.402915261	0	2.201877959
ENSG00000308608	0	0	0	0	0	0
ENSG00000308616	0	0	1.497023822	12.0145763	0.729188479	2.201877959
ENSG00000308625	0	8.022183927	0.998015882	7.208745783	7.291884791	3.302816938
ENSG00000308642	0.450674517	0	0.499007941	0	0	0
ENSG00000308645	0	0	0	0	0	0
ENSG00000308649	0.450674517	0	0	0	0	0
ENSG00000308656	0	0	0	0	0.729188479	0
ENSG00000308668	0	28.07764374	0.998015882	4.805830522	0	1.100938979
ENSG00000308674	0	12.03327589	0.998015882	7.208745783	1.458376958	0
ENSG00000308680	0	10.02772991	0	2.402915261	0	1.100938979
ENSG00000308687	0	0	0	0	0	0
ENSG00000308689	0	10.02772991	0.499007941	7.208745783	1.458376958	2.201877959
ENSG00000308695	0.450674517	6.016637945	0.998015882	4.805830522	0.729188479	5.504694897
ENSG00000308705	0.450674517	32.08873571	3.493055585	16.82040683	2.916753916	5.504694897
ENSG00000308706	0.450674517	4.011091963	0.499007941	7.208745783	0.729188479	0
ENSG00000308721	0	2.005545982	0	2.402915261	1.458376958	1.100938979
ENSG00000308726	0.450674517	6.016637945	0	4.805830522	0	1.100938979
ENSG00000308729	0	8.022183927	2.495039704	12.0145763	0.729188479	3.302816938
ENSG00000308731	0	8.022183927	0	4.805830522	2.187565437	3.302816938
ENSG00000308735	0.450674517	0	0.499007941	2.402915261	0	0
ENSG00000308739	1.35202355	0	0.499007941	0	0	1.100938979
ENSG00000308743	0	8.022183927	0	2.402915261	0.729188479	4.403755917
ENSG00000308747	0.450674517	0	0	0	0.729188479	1.100938979
ENSG00000308758	0.450674517	6.016637945	0	2.402915261	2.187565437	4.403755917
ENSG00000308762	0	6.016637945	1.996031763	9.611661044	2.187565437	1.100938979
ENSG00000308783	1.35202355	4.011091963	5.489087348	19.22332209	4.375130875	8.807511835
ENSG00000308789	0	8.022183927	0	4.805830522	0	2.201877959
ENSG00000308798	0	2.005545982	1.996031763	28.83498313	0.729188479	3.302816938
ENSG00000308804	3.605396132	66.1830174	5.988095289	45.65538996	10.20863871	18.71596265
ENSG00000308813	4.056070649	8.022183927	0.998015882	2.402915261	0.729188479	3.302816938
ENSG00000308816	0	2.005545982	0.998015882	2.402915261	1.458376958	5.504694897
ENSG00000308821	6.760117748	90.24956918	13.4732144	76.89328835	22.60484285	19.81690163
ENSG00000308825	0.901349033	16.04436785	0	0	0	0
ENSG00000308832	0	20.05545982	1.497023822	2.402915261	3.645942395	2.201877959
ENSG00000308837	0	28.07764374	0.499007941	2.402915261	3.645942395	3.302816938
ENSG00000308843	2.253372583	0	0.499007941	2.402915261	1.458376958	0
ENSG00000308845	0	0	0	2.402915261	0	0
ENSG00000308846	0	0	0	0	0	0
ENSG00000308858	0	2.005545982	0	2.402915261	0	1.100938979
ENSG00000308863	0	8.022183927	0.998015882	4.805830522	2.187565437	1.100938979
ENSG00000308872	0.450674517	0	0	0	0	1.100938979
ENSG00000308894	0.901349033	0	0	0	0	0
ENSG00000308902	0	2.005545982	0	7.208745783	0.729188479	1.100938979
ENSG00000308905	1.35202355	22.0610058	1.497023822	4.805830522	0	4.403755917
ENSG00000308909	0	0	0	0	1.458376958	1.100938979
ENSG00000308918	0.450674517	6.016637945	1.996031763	2.402915261	0.729188479	1.100938979
ENSG00000308944	0	2.005545982	0.998015882	4.805830522	0.729188479	0
ENSG00000308964	1.35202355	20.05545982	2.495039704	7.208745783	5.104319354	3.302816938
ENSG00000308967	0	0	0	0	0	5.504694897
ENSG00000308978	0.901349033	14.03882187	0.998015882	16.82040683	5.833507833	1.100938979
ENSG00000308990	0	2.005545982	0.998015882	7.208745783	1.458376958	1.100938979
ENSG00000308991	0	0	0	0	0	0
ENSG00000308992	0.450674517	0	1.497023822	0	0.729188479	0
ENSG00000308993	3.154721616	118.3272129	11.97619058	43.2524747	18.95890046	17.61502367
ENSG00000308996	0	12.03327589	0.499007941	2.402915261	0	1.100938979
ENSG00000309012	0.450674517	10.02772991	2.495039704	4.805830522	0.729188479	0
ENSG00000309023	0.450674517	10.02772991	0	7.208745783	4.375130875	1.100938979
ENSG00000309032	1.802698066	4.011091963	1.497023822	12.0145763	0	3.302816938
ENSG00000309034	0	0	1.996031763	9.611661044	0.729188479	1.100938979
ENSG00000309037	0.450674517	14.03882187	0	7.208745783	0	2.201877959
ENSG00000309040	0	0	0	0	0	0
ENSG00000309050	0.901349033	0	0.499007941	0	0	0
ENSG00000309051	0.450674517	14.03882187	0.499007941	7.208745783	0.729188479	1.100938979
ENSG00000309064	0	0	0.499007941	0	0	0
ENSG00000309071	2.253372583	0	1.497023822	4.805830522	1.458376958	0
ENSG00000309076	0	2.005545982	0	14.41749157	4.375130875	3.302816938
ENSG00000309079	0	8.022183927	0	9.611661044	0	2.201877959
ENSG00000309093	0	18.04991384	0.499007941	2.402915261	2.187565437	4.403755917
ENSG00000309098	0.450674517	6.016637945	0	0	0.729188479	0
ENSG00000309104	0	0	0.499007941	0	0	1.100938979
