"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GMCL1",29.9540486045076,-0.424901494402026,0.621478114846842,0.36228758465524,0.565672265411785
"GMDS",13.7115092510818,-0.639489292317518,0.734643811701462,0.16840545186129,0.37189851241016
"GMDS-DT",33.9675660092237,1.06774626955067,0.609276455466668,0.0217827776718455,0.119902449437553
"GMEB1",80.8298904627814,0.361732310509259,0.478304721854033,0.379074488743865,0.579465972647479
"GMEB2",46.2003510905739,-0.556889697689583,0.553848035301237,0.212985549420999,0.422720770602054
"GMFB",107.019061217264,-0.233389536384612,0.455168125770457,0.557371426626015,0.716219622845734
"GMFG",168.911034807435,0.612783771722993,0.434869371215131,0.111508343960107,0.293437206307665
"GMIP",57.6643448488262,-0.432414929046167,0.519712734563652,0.317468712621662,0.526341868524125
"GMNN",29.9132272688251,-0.978175737980595,0.646903701870324,0.0382802004001002,0.161210161355029
"GMPPA",26.4068217609998,-0.610640095975927,0.648130457651844,0.194400472338078,0.400903592466563
"GMPPB",68.0811625639376,0.499486451217234,0.514620126530211,0.245568609736918,0.459281849737848
"GMPR",0.901079520702935,0.121880592848789,0.928020514001123,0.571321650759276,NA
"GMPR2",62.4725827277269,-0.518080520023248,0.516785157730286,0.229553769132917,0.441888021262494
"GMPS",133.426481496301,-0.371444329396806,0.446779564230885,0.344107292367095,0.550567834725049
"GNA11",40.4926703624629,0.0080302041295307,0.636848258303995,0.986320587345015,0.992352309357725
"GNA12",98.676843844174,-0.823947214954241,0.493234727376979,0.049439199381817,0.185568613796464
"GNA13",302.356971770586,-0.257159181786223,0.420632856621177,0.493726017042106,0.671477136137775
"GNA15",6.35908804154187,0.0393462440843197,0.822272914022749,0.923104207736902,NA
"GNAI1",31.8236474066652,0.960579695674388,0.686728389817033,0.0428423667492108,0.171484700081543
"GNAI2",349.27890709666,-0.607256182763591,0.387660487436277,0.0851665954500677,0.251294297238556
"GNAI3",150.957797435899,-0.154934813918742,0.43441126726536,0.687211516670405,0.807493919958728
"GNAL",15.0490893953049,0.61580615508069,0.755361137022311,0.178130600684365,0.382757191167231
"GNAO1",10.1733380303274,0.494369307272247,0.757956539204029,0.276868552788958,0.489733401080464
"GNAO1-DT",8.52441553544092,0.956109317642392,0.799778106320177,0.0320051746568562,0.145558645834306
"GNAQ",47.7997517616693,0.215013849035493,0.563612683350467,0.633240590800593,0.769755638123667
"GNAS",787.646838383124,-1.19798352261606,0.406015407084231,0.00104427307260936,0.0315910882190964
"GNAS-AS1",12.2408589465459,0.931760111852854,0.784194407830377,0.0395061487746292,0.164040253759376
"GNAZ",42.1338076913886,0.053493371282692,0.563546268651873,0.905489553622432,0.944690613951256
"GNB1",381.042634514024,-0.895922155349687,0.400593389576474,0.0132928450341364,0.0925784091208773
"GNB1-DT",1.30187976174627,-0.0466213333303977,0.911123774445231,0.860352415445493,NA
"GNB1L",34.3360734602312,0.698565727882023,0.62225965152716,0.134808177886205,0.326427586256916
